LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(frame),(frame),(frame),(µm),(µm),(µm),(µm),(µm/frame),(µm/frame),(µm/frame),(µm/frame),(µm/frame),(quality),(µm),(µm),,(µm/frame),,(rad/frame)
Track_1679,40,40,87,0,0,0,0,0,86.0,0.0,86.0,5.510460950898371,174.40784312999244,435.8432498545068,0.0,0.7182161202141044,12.756495708466097,0.017402115137390158,0.5345954821060316,1.393449973720626,1777.0,61.766586338413,8.131197792297671,0.08921427065285917,0.06407512733602756,0.08921427065285918,1.7681323954095576
Track_1680,41,41,98,0,0,0,0,0,97.0,0.0,97.0,18.164933914322848,651.8288957216898,45.5115200228582,0.0,0.761183356241983,2.9888321582921176,0.009952032284378676,0.5212899159298157,0.6900652733990666,2511.1326530612246,73.83478555547237,20.071430240463577,0.24602135399547495,0.18726735994147267,0.24602135399547503,1.68591464313912
Track_1681,42,42,98,0,0,0,0,0,97.0,0.0,97.0,24.127558162267523,327.90334244747373,262.4751686173943,0.0,0.9563608769176132,2.910227283011977,0.06487532699229985,0.7158865635947517,0.6610071765148768,4166.6122448979595,92.76700506100845,24.127558162267523,0.2600877127207025,0.24873771301306724,0.2600877127207024,1.3874104879577691
Track_1682,43,43,86,0,0,0,0,0,85.0,0.0,85.0,17.63367203116872,3.3619030743526888,609.6662208232789,0.0,0.7450767536730218,2.723077445626215,0.029988732202480526,0.640527535008408,0.4878712073608831,939.3488372093024,63.33152406220686,17.63367203116872,0.27843435464853483,0.2074549650725732,0.27843435464853483,1.6012889968207675
Track_1683,44,44,98,0,0,0,0,0,97.0,0.0,97.0,18.57706420329903,729.8640679008072,454.46129783997355,0.0,0.963473040118416,5.858085323774752,0.05175168161681772,0.7847770363712586,0.8565783097912468,4484.581632653061,93.4568848914864,18.57706420329903,0.19877683944707789,0.1915161258072065,0.198776839447078,1.320056597160517
Track_1684,45,45,98,0,0,0,0,0,97.0,0.0,97.0,3.5550251631821363,519.1303314586518,625.5405719890456,0.0,0.26063922145985385,1.305986191282687,0.004676069700680194,0.19977213480214023,0.2227490015052874,5024.367346938776,25.28200448160583,4.30230278471011,0.14061484585878584,0.036649743950331305,0.14061484585878586,1.8122244017775078
Track_1685,46,46,98,0,0,0,0,0,97.0,0.0,97.0,28.26246595439513,369.96162950307826,265.7432376719826,0.0,0.9335896681499378,4.537512646962644,0.03191828031243062,0.6999810252508251,0.861876010354573,3737.173469387755,90.55819781054399,28.292275846643506,0.3120917447310821,0.2913656283958261,0.31209174473108214,1.5262064943036597
Track_1686,47,47,34,0,0,0,0,0,33.0,0.0,33.0,6.6892457901108875,852.5015086125968,627.3627554596513,0.0,1.4385587193532323,8.214904983591508,0.15288823895650644,0.9376433381294681,1.5768415706376375,8003.85294117647,47.47243773865668,6.6892457901108875,0.14090799016760525,0.2027044178821481,0.14090799016760527,1.3808505140999572
Track_1687,48,48,98,0,0,0,0,0,97.0,0.0,97.0,31.811611401393296,543.2271897587221,442.0378191517319,0.0,0.8747483082441853,3.471600526687775,0.07685490574303692,0.6638712508501265,0.7343028239963896,3125.3673469387754,84.85058589968594,32.201344686988115,0.3749132791964733,0.3279547567153948,0.37491327919647316,1.5585435545947306
Track_1688,49,49,98,0,0,0,0,0,97.0,0.0,97.0,46.83418519725897,551.9269363574684,612.0284219502345,0.0,1.676703431668489,7.250883839915952,0.05736580414676859,1.095669524820715,1.7032645319681026,6376.306122448979,162.6402328718434,55.27540982631089,0.2879618675544026,0.4828266515181337,0.28796186755440256,1.3811637285777578
