LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(frame),(frame),(frame),(µm),(µm),(µm),(µm),(µm/frame),(µm/frame),(µm/frame),(µm/frame),(µm/frame),(quality),(µm),(µm),,(µm/frame),,(rad/frame)
Track_528,37,37,152,4,0,0,0,5,160.0,0.0,160.0,3.6381089768870876,505.83747472847955,187.80451053352047,0.0,0.5203645038958017,2.4245926077552307,0.04515777917615528,0.4168759432669047,0.3841185620648764,2454.1184210526317,80.40043172166479,6.357350111022872,0.04524986867585139,0.0227381811055443,0.04369664136448749,1.8302587103416366
Track_529,38,38,303,9,0,0,0,7,327.0,0.0,327.0,2.3710804310844047,9.888018833928538,374.6254761627243,0.0,0.2534234817622564,1.4190733258797326,0.009578163100309258,0.19447827951642768,0.2009524737700795,2545.5115511551153,78.9668739164917,3.5511974416241734,0.030026266882387253,0.007251010492612858,0.028612228204706117,1.7576300012934951
Track_530,39,39,375,0,0,0,0,0,374.0,0.0,374.0,57.72671556109001,223.70573479537302,513.9427366020627,0.0,0.5287542093931944,9.744242826245765,0.01570906589280824,0.17688787213278093,0.9806319704877532,4545.912,197.7540743130548,59.154801803169974,0.2919116370250136,0.15434950684783424,0.29191163702501366,1.7449302865836205
Track_531,40,40,375,0,0,0,0,0,374.0,0.0,374.0,11.51049906376875,770.361318009196,394.5985379780041,0.0,0.397275173090202,2.1687296519951436,0.02267582297806972,0.3419836109882164,0.29406131860201995,4122.842666666666,148.58091473573543,11.51049906376875,0.07746956656069329,0.030776735464622326,0.07746956656069323,1.7569615668721381
Track_532,41,41,63,0,0,0,0,0,62.0,0.0,62.0,3.306669712329744,376.607433723313,459.1975789593346,0.0,0.6140442309123962,1.6785523284767527,0.025968049629261313,0.5782674568711139,0.3998225509994123,2343.2698412698414,38.07074231656854,4.194981417766032,0.08685592954384469,0.05333338245693135,0.08685592954384463,1.98921082118098
Track_533,42,42,324,4,0,0,0,20,374.0,0.0,374.0,3.2000607748291725,678.3749957290337,90.68381810635428,0.0,0.2581753541469156,0.787304778598081,0.007861472413340988,0.23284567924915936,0.14442743955857737,2468.1203703703704,85.86600622359668,3.704114034278931,0.03726807517396529,0.008556312232163563,0.03314147572465249,1.862466747662765
Track_534,43,43,191,1,0,0,0,1,191.0,0.0,191.0,10.508180589750335,343.64904708640796,469.0484728914452,0.0,0.5772375600979323,2.2642179696011993,0.06616293054782685,0.4886100352315464,0.3804353546690909,2841.8743455497383,109.9672874808307,11.288299741494733,0.0955573319163856,0.05501665230235778,0.09531024331303706,1.6884258305763706
Track_535,44,44,375,0,0,0,0,0,374.0,0.0,374.0,1.5132634260451634,478.3546233214935,487.2499077109032,0.0,0.3290905908428894,1.5535737531142235,0.020247209854522503,0.27937975771681717,0.2220873669502414,3333.9546666666665,123.07988097524064,6.18632943608968,0.012294969852542992,0.004046158893168886,0.012294969852542994,1.9378212429808122
Track_536,45,45,375,0,0,0,0,0,374.0,0.0,374.0,125.79016005824106,611.3686729679947,364.766358973457,0.0,1.3985431781403699,7.843908439847414,0.015399551080740365,1.0609374565141496,1.1744658114542006,3232.2853333333333,523.0551486244981,125.99980319651104,0.2404911994252177,0.3363373263589333,0.2404911994252176,1.602559357220283
Track_537,46,46,375,0,0,0,0,0,374.0,0.0,374.0,4.160662660671956,24.27240275943699,98.56290182531053,0.0,0.5607738995073481,3.350304087092366,0.030681348522143374,0.43374224208179896,0.4754316795363809,3272.2986666666666,209.72943841574818,8.694926536397398,0.019838238695057412,0.011124766472384908,0.01983823869505741,1.6976884617740258
