LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Label,Track index,Track ID,Number of spots in track,Number of gaps,Number of split events,Number of merge events,Number of complex points,Longest gap,Track duration,Track start,Track stop,Track displacement,Track mean X,Track mean Y,Track mean Z,Track mean speed,Track max speed,Track min speed,Track median speed,Track std speed,Track mean quality,Total distance traveled,Max distance traveled,Confinement ratio,Mean straight line speed,Linearity of forward progression,Mean directional change rate
Label,Index,ID,N spots,N gaps,N splits,N merges,N complex,Lgst gap,Duration,Track start,Track stop,Track disp.,Track X,Track Y,Track Z,Mean sp.,Max speed,Min speed,Med. speed,Std speed,Mean Q,Total dist.,Max dist.,Cfn. ratio,Mn. v. line,Fwd. progr.,Mn. γ rate
,,,,,,,,,(frame),(frame),(frame),(µm),(µm),(µm),(µm),(µm/frame),(µm/frame),(µm/frame),(µm/frame),(µm/frame),(quality),(µm),(µm),,(µm/frame),,(rad/frame)
Track_17207,953,953,75,1,0,0,0,1,75.0,101.0,176.0,10.480974633958711,401.9317457486235,634.989605597742,0.0,1.6072366743712936,6.177620435332183,0.11972509097316385,0.8990714233012673,1.6814020472559685,2194.5466666666666,122.61662697178019,10.75274177299365,0.08547759706659418,0.13974632845278281,0.08694819542208848,1.8976990138250716
Track_17208,954,954,5,0,0,0,0,0,4.0,102.0,106.0,0.989070283976228,18.17877242550738,592.3532925498254,0.0,0.755964467307072,1.2577715579104896,0.3971296907599788,0.7032877463871048,0.36124824525811217,1805.4,3.023857869228288,1.5828023629790577,0.3270888800830597,0.247267570994057,0.3270888800830597,2.1628006610203934
Track_17209,955,955,2,0,0,0,0,0,1.0,102.0,103.0,0.6050168445388867,349.2864822117988,70.88373416475439,0.0,0.6050168445388867,0.6050168445388867,0.6050168445388867,0.6050168445388867,NaN,1887.5,0.6050168445388867,0.6050168445388867,1.0,0.6050168445388867,1.0,NaN
Track_17210,956,956,74,1,0,0,0,1,74.0,102.0,176.0,0.507450112179823,506.17505546912895,629.8615208711566,0.0,0.30514634607128965,1.052413897990502,0.02426001082891217,0.2370109535128276,0.22675866685086515,1944.8108108108108,22.490665426486355,1.888739247805204,0.022562698904507263,0.006857433948375988,0.022472607116763323,1.9103001125739791
Track_17211,957,957,69,3,0,0,0,4,74.0,102.0,176.0,3.808966720390703,351.06952374550764,635.5794538057215,0.0,1.0279001275726702,3.7888517394947083,0.12872784371160662,0.7192503041712758,0.8256753330204514,2048.231884057971,71.98170023460922,7.445003841825202,0.05291576481211442,0.051472523248523014,0.05007541284197771,1.5674894678411813
Track_17212,958,958,3,0,0,0,0,0,2.0,102.0,104.0,0.7351756337719809,390.1972347088542,443.78547963413433,0.0,0.37741532961578106,0.4602090288368254,0.2946216303947367,0.4602090288368254,0.11708797231743967,2229.0,0.7548306592315621,0.7351756337719809,0.9739610133488874,0.36758781688599046,0.9739610133488874,0.4690393661255211
Track_17213,959,959,10,1,0,0,0,9,18.0,102.0,120.0,2.6859513814555815,41.35154651329963,562.9448263521274,0.0,0.6798519867045427,1.192240558083387,0.3117674469954496,0.6567511886787293,0.31283991583591875,2118.6,8.924574903299932,3.9061172329803964,0.3009612682462253,0.14921952119197676,0.2194882476041453,1.6353602205702584
Track_17214,960,960,4,1,0,0,0,3,6.0,99.0,105.0,3.8681361857367755,596.8036979768788,371.04678505660974,0.0,0.9726117647307093,1.252381801686423,0.6118611232111207,1.053592369294584,0.32784917054228363,1662.5,4.7534186638254905,3.8681361857367755,0.8137587827417981,0.6446893642894626,0.6628434773950735,0.35650052864193293
Track_17215,961,961,4,1,0,0,0,3,6.0,99.0,105.0,0.31281166484139916,261.4994897951721,583.7078950338741,0.0,0.6127977949106793,0.9845443610491988,0.1586809105038676,0.6951681131789714,0.4190480422760319,2013.25,2.3144361162436407,1.284813059169581,0.13515675055619875,0.05213527747356653,0.08507745606552926,1.538364581310385
Track_17216,962,962,5,0,0,0,0,0,4.0,105.0,109.0,0.9875301704331462,512.535481317782,191.6457581164631,0.0,0.6195569788283581,1.030490907662399,0.19761289378621813,0.7114173314348147,0.34731281932750707,1787.4,2.4782279153134326,0.9875301704331462,0.3984823850667701,0.24688254260828654,0.3984823850667701,2.1836463658130425
