"","X.1","ID","Track","Slice","X","Y","Distance","Velocity","PixelValue","TrackNumber"
"717",129,133,"Tail After",55,129.159,372.222,2.034,1.356,-8553091,223
"718",130,134,"Tail After",56,132.888,370.188,4.248,2.832,-10982802,223
"719",131,135,"Tail After",57,131.871,372.9,2.896,1.931,-10523809,223
"720",132,136,"Tail After",58,131.871,370.866,2.034,1.356,-11378340,223
"721",133,137,"Tail After",59,132.888,372.222,1.695,1.13,-10525341,223
"722",134,138,"Tail After",60,136.278,370.866,3.651,2.434,-10394014,223
"723",135,139,"Tail After",61,133.566,373.578,3.835,2.557,-10786969,223
"724",136,140,"Tail After",62,133.566,373.578,0,0,-11379108,223
"725",137,141,"Tail After",63,132.888,374.256,0.959,0.639,-9932185,223
"726",138,142,"Tail After",64,132.888,375.273,1.017,0.678,-9733004,223
"727",139,143,"Tail After",65,131.871,368.832,6.521,4.347,-11373468,223
"728",140,144,"Tail After",66,132.888,372.9,4.193,2.795,-9730692,223
"729",141,145,"Tail After",67,135.6,372.9,2.712,1.808,-11313825,223
"730",142,146,"Tail After",68,135.6,373.578,0.678,0.452,-9995406,223
"731",143,147,"Tail After",69,136.956,376.629,3.339,2.226,-11442595,223
"732",144,148,"Tail After",70,134.244,377.307,2.795,1.864,-10585239,223
"733",145,149,"Tail After",71,134.244,380.019,2.712,1.808,-11645611,223
"734",146,150,"Tail After",72,132.888,379.341,1.516,1.011,-10719884,223
"735",147,151,"Tail After",73,131.193,376.629,3.198,2.132,-10261892,223
"736",148,152,"Tail After",74,131.871,377.307,0.959,0.639,-12433574,223
"737",149,153,"Tail After",75,133.566,377.985,1.826,1.217,-10128792,223
"738",150,154,"Tail After",76,133.566,377.985,0,0,-10587535,223
"739",151,155,"Tail After",77,133.566,377.985,0,0,-10783382,223
"740",152,156,"Tail After",78,134.922,375.951,2.445,1.63,-10980508,223
"845",105,108,"Tail After",55,622.404,530.874,2.171,1.447,-10389907,224
"846",106,109,"Tail After",56,621.726,534.942,4.124,2.749,-10651794,224
"847",107,110,"Tail After",57,619.692,532.908,2.877,1.918,-10258067,224
"848",108,111,"Tail After",58,620.37,532.908,0.678,0.452,-10257036,224
"849",109,112,"Tail After",59,621.048,532.908,0.678,0.452,-10718868,224
"850",110,113,"Tail After",60,620.37,533.586,0.959,0.639,-10981529,224
"851",111,114,"Tail After",61,621.048,534.264,0.959,0.639,-10324114,224
"852",112,115,"Tail After",62,621.048,533.586,0.678,0.452,-11047320,224
"853",113,116,"Tail After",63,621.048,533.586,0,0,-10126731,224
"854",114,117,"Tail After",64,621.048,532.908,0.678,0.452,-10521750,224
"855",115,118,"Tail After",65,621.048,532.908,0,0,-10323597,224
"856",116,119,"Tail After",66,621.048,532.908,0,0,-11178910,224
"857",117,120,"Tail After",67,621.048,532.908,0,0,-11047320,224
"858",118,121,"Tail After",68,621.726,532.908,0.678,0.452,-10126735,224
"859",119,122,"Tail After",69,621.726,532.908,0,0,-10587284,224
"860",120,123,"Tail After",70,621.726,532.908,0,0,-10388361,224
"861",121,124,"Tail After",71,620.37,532.908,1.356,0.904,-10915736,224
"862",122,125,"Tail After",72,620.37,532.908,0,0,-10192524,224
"863",123,126,"Tail After",73,621.726,531.552,1.918,1.278,-10717326,224
"864",124,127,"Tail After",74,621.048,531.552,0.678,0.452,-10652564,224
